-72.837374,41.285399,"SERVICE PLAZA NB I-95 CT","RR, VM, Pets, HF, Gas, Food"
-72.868505,41.399017,"SERVICE PLAZA SB CT-15","RR, PT, Pets, HF, Gas, Food"
-72.869651,41.397672,"SERVICE PLAZA NB CT-15","RR, PT, Pets, HF, Gas, Food"
-72.905541,41.573695,"REST AREA EB I-84 CT","RR,PT,VM,RV,Pets,HF"
-72.931566,42.192827,"SERVICE PLAZA WB I-90 MM29","RR, PT, VM, HF, Gas, Food"
-72.935393,42.196642,"SERVICE PLAZA EB I-90 MM29","RR, PT, VM, HF, Gas, Food"
-73.006918,41.248064,"SERVICE PLAZA SB I-95 CT","RR, PT, VM, Pets, HF, Gas, Food"
-73.011533,41.244731,"REST AREA NB I-95 CT","RR, PT, VM, Pets, HF, Gas, Food"
-73.047771,41.280587,"SERVICE PLAZA SB CT-15","RR, PT, Pets, HF, Gas, Food"
-73.048708,41.279187,"SERVICE PLAZA NB CT-15","RR, PT, Pets, HF, Gas, Food"
-73.076327,44.435424,"REST AREA NB I-89","RR, PT, VMs, Pets, HF"
-73.078834,44.744835,"REST AREA NB I-89","RR, PT, VMs, Pets, HF"
-73.080619,44.435348,"REST AREA SB I-89","RR, PT, VMs, Pets, HF"
-73.085951,45.011076,"REST AREA SB I-89 MM129","RR, PT, Pets"
-73.255607,41.219633,"SERVICE PLAZA SB CT-15","RR, PT, Pets, HF, Gas, Food"
-73.256434,41.218389,"SERVICE PLAZA NB CT-15","RR, PT, Pets, HF, Gas, Food"
-73.256451,41.146891,"SERVICE PLAZA NB I-95 CT","RR, PT, VM, Pets, HF, Gas, Food"
-73.256581,41.147271,"SERVICE PLAZA SB I-95 CT","RR, PT, VM, Pets, HF, Gas, Food"
-73.270711,42.297583,"SERVICE PLAZA WB I-90 MM8","RR, PT, VM, HF, Gas, Food"
-73.278933,42.297474,"SERVICE PLAZA EB I-90 MM8","RR, PT, VM, HF, Gas, Food"
-73.311394,40.803974,"TURNOUT WB I-495 MM52","NO FACILITIES"
-73.318569,40.803111,"TURNOUT EB I-495 MM52","NO FACILITIES"
-73.442664,44.800383,"REST AREA NB I-87/NY T'way MM162","RR, PT, Pets, HF"
-73.446301,44.810527,"WELCOME CENTER SB I-87/NY T'way MM 162","RR, PT, Pets, HF"
-73.463741,41.078322,"SERVICE PLAZA NB I-95 CT","RR, PT, VM, Pets, HF, Gas, Food"
-73.478762,41.120535,"SERVICE PLAZA SB CT-15","RR, PT, Pets, HF, Gas, Food"
-73.481601,41.119531,"SERVICE PLAZA NB CT-15","RR, PT, Pets, HF, Gas, Food"
-73.490786,44.608461,"REST AREA SB I-87","RR, PT, Pets, HF"
-73.493775,44.600833,"REST AREA NB I-87","RR, PT, Pets, HF"
-73.501397,41.068212,"SERVICE PLAZA SB I-95 CT","RR, PT, VM, Pets, HF, Gas, Food"
-73.526277,44.277479,"TRAVEL PLAZA NB I-87 MM33","RR, PT, Pets, HF"
-73.527994,41.392579,"REST AREA EB I-84 MM2.5","RR, PT, VM, RV Dump, Pets"
-73.582976,44.157785,"REST AREA NB I-87/NY T'way MM111","RR, PT, VM, Pets, HF"
-73.613261,42.261101,"TURNOUT NB Taconic Pkwy","NO FACILITIES, Pets"
-73.614011,42.263281,"TURNOUT SB Taconic Pkwy","NO FACILITIES, Pets"
-73.634365,41.359912,"REST AREA NB I-684 MM25","RR, PT, VM, Pets, HF"
-73.672251,41.042074,"SERVICE PLAZA SB CT-15","RR, PT, Pets, HF, Gas, Food"
-73.673217,41.040158,"SERVICE PLAZA NB CT-15","RR, PT, Pets, HF, Gas, Food"
-73.674101,43.269202,"REST AREA NB I-87/NY T'way MM43","RR, PT, VM, Pets, HF"
-73.678643,41.234088,"REST AREA SB I-684 MM16","RR, PT, VM, Pets, HF"
-73.678801,43.278462,"REST AREA SB I-87/NY T'way MM43","RR, PT, VM, Pets, HF"
-73.686049,42.501628,"REST AREA WB I-90/NY T'way MM18.5","RR, PT, VM, Pets, HF"
-73.702512,44.019713,"REST AREA SB I-87/NY T'way MM99","RR, PT, Pets, HF"
-73.710639,44.010411,"REST AREA NB I-87/NY T'way MM99","RR, PT, Pets, HF"
-73.718168,41.546368,"REST AREA WB I-84 MM17","RR, VM, PT, Pets, HF"
-73.723871,42.069661,"TURNOUT SB Taconic Pkwy","NO FACILITIES, Pets"
-73.725151,42.067721,"TURNOUT NB Taconic Pkwy","NO FACILITIES, Pets"
-73.729206,43.578552,"TURNOUT-PARKING SB I-87","NO FACILITIES"
-73.729646,41.547653,"REST AREA EB I-84 MM17","RR, VM, PT, Pets, HF"
-73.734176,43.547552,"TURNOUT-PARKING NB I-87","NO FACILITIES"
-73.776799,42.872991,"REST AREA NB I-87/NY T'way MM14","RR, PT, VM, Pets, HF"
-73.785659,42.596014,"TURNOUT-PARKING SB I-87","NO FACILITIES"
-73.804027,42.429715,"SERVICE PLAZA SB I-87/NY T'way","RR, PT, VM, Pets, HF, Gas, Food"
-73.805361,42.426018,"SERVICE PLAZA-FOLLOW SIGNS NB I-87","RR, PT, VM, Pets, HF, Gas, Food"
-73.854009,40.982373,"SERVICE PLAZA NB I-87 MP6","RR, PT, VM, Pets, HF, Gas, Food"
-73.920131,42.745649,"SERVICE PLAZA EB I-90/NY T'way MM153","RR, PT, VM, Pets, HF, Gas, Food"
-73.957744,42.108471,"SERVICE PLAZA NB NY T'way","RR, PT, VM, Pets, HF, Gas, Food"
-73.958198,42.107913,"TURNOUT SB NY T'way","NO FACILITIES"
-73.984329,42.052552,"TEMP. CLOSED - TURNOUT NB NY T'way","NO FACILITIES"
-73.998751,42.016205,"SERVICE PLAZA SB NY T'way","RR, PT, VM, Pets, HF, Gas, Food"
-74.026472,40.825918,"SERVICE PLAZA NB NJ TPK MM116","RR, PT, VM, HF, Gas, Food"
-74.029393,40.827095,"SERVICE PLAZA SB NJ TPK MM115.5","RR, PT, VM, HF, Gas, Food"
-74.062543,40.770913,"SERVICE PLAZA SB NJ TPK MM111.6","RR, PT, VM, HF, Gas, Food"
-74.066251,41.051936,"SERVICE PLAZA-LEFT EXIT SB GSP MM171","RR, VM, HF, FOOD, GAS"
-74.067965,41.044391,"SERVICE PLAZA-LEFT EXIT NB GSP MM171","RR, VM, HF, FOOD, GAS"
-74.085048,41.575262,"SERVICE PLAZA NB I-87 MP65","RR, PT, VM, Pets, HF, Gas, Food"
-74.08696,41.594732,"SERVICE PLAZA SB I-87 MP66","RR, PT, VM, Pets, HF, Gas, Food"
-74.094801,42.895338,"SERVICE PLAZA WB I-90/NY T'way MM168","RR, PT, VM, Pets, HF, Gas, Food"
-74.098804,40.202727,"SERVICE PLAZA-LEFT EXIT SB GSP MM100","RR, VM, HF, FOOD, GAS"
-74.099291,40.194511,"SERVICE PLAZA-LEFT EXIT NB GSP MM100","RR, VM, HF, FOOD, GAS"
-74.165476,42.916088,"SERVICE PLAZA EB I-90/NY T'way MM172","RR, PT, VM, Pets, HF, Gas, Food"
